Name,URL,Type,Location,Address,Cuisines,Cost_for_Two,Timings,Rating,Votes
"Big Brewsky ",https://www.zomato.com/bangalore/big-brewsky-sarjapur-road,Microbrewery,Sarjapur Road,"Behind MK Retail, Before WIPRO Corporate Office, Sarjapur Road, Bangalore","Finger Food, North Indian, Italian, Continental, South Indian","₹1,600","12:30PM to 1AM (Mon-Sun) ","4.7 ",9277 votes
"Hoot ",https://www.zomato.com/bangalore/hoot-sarjapur-road,"Microbrewery,Pub",Sarjapur Road,"BBMP 2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore","Continental, Italian, North Indian","₹1,400","12Noon to 12:30AM (Mon, Tue, Wed, Thu, Sun), 12Noon... ","4.3 ",3696 votes
"Toit ",https://www.zomato.com/bangalore/toit-indiranagar,Microbrewery,Indiranagar,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore","Italian, American, Pizza","₹1,500","12Noon to 11:30PM (Mon-Tue),12Noon to 12:30AM (Wed... ","4.5 ",12618 votes
"Truffles ",https://www.zomato.com/bangalore/truffles-koramangala-5th-block,"Café,Casual Dining",Koramangala 5th Block,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore","Cafe, American, Burger, Steak",₹800,"12Noon to 10:30PM (Mon-Sun) ","4.6 ",11825 votes
"Communiti ",https://www.zomato.com/bangalore/communiti-residency-road,"Microbrewery,Casual Dining",Residency Road,"67 & 68, Brigade Solitaire, Opposite to Advaith Hyundai, Residency Road, Bangalore","Continental, BBQ, Salad","₹1,200","11:30AM to 1AM (Mon-Sun) ","4.4 ",1680 votes
"Koramangala Social ",https://www.zomato.com/bangalore/koramangala-social-koramangala-7th-block,Lounge,Koramangala 7th Block,"118, Koramangala Industrial Area, Koramangala 7th Block, Bangalore","Continental, American","₹1,500","9AM to 12:30AM (Mon-Sun) ","4.4 ",2632 votes
"Flechazo ",https://www.zomato.com/bangalore/flechazo-marathahalli,Casual Dining,Marathahalli,"9/1, 1st Floor, Above Surya Nissan, VRR Orchid, Doddanakkundi, Marathahalli, Bangalore","Asian, Mediterranean, North Indian, BBQ","₹1,200","11:30AM to 4PM, 6:30PM to 12Midnight (Mon-Sun) ","4.4 ",4036 votes
"Big Pitcher ",https://www.zomato.com/bangalore/big-pitcher-airport-road,"Pub,Microbrewery",Old Airport Road,"LR Arcade,4121, Old Airport Road, Bangalore","American, Continental, North Indian, Mediterranean, Salad, Steak","₹2,000","11AM to 1AM (Mon-Sun) ","4.5 ",5436 votes
"The London Curry House ",https://www.zomato.com/bangalore/the-london-curry-house-race-course-road,"Casual Dining,Bar",Race Course Road,"19/2, Kumara Krupa Road, Off Race Course Road, Bangalore","Pizza, North Indian, Modern Indian","₹1,200","12Noon to 3PM, 7PM to 11PM (Mon-Sun) ","4.4 ",2143 votes
"The Reservoire ",https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block,Bar,Koramangala 5th Block,"5th ‘a’ Block, 17th Main Road, JNC Road, Koramangala, Bangalore","Chinese, Cafe, Continental, Indian, Finger Food, North Indian, Desserts, Pizza","₹1,300","11AM to 1AM (Mon-Sun) ","4.2 ",455 votes
"Biergarten ",https://www.zomato.com/bangalore/biergarten-whitefield,"Pub,Microbrewery",Whitefield,"2, Doddanekkundi, Whitefield Road, Mahadevpura, Whitefield, Bangalore","Continental, European, BBQ, Chinese, Asian","₹1,500","12Noon to 12Midnight (Mon, Tue, Wed, Thu, Sun)... ","4.7 ",3160 votes
"High Ultra Lounge ",https://www.zomato.com/bangalore/high-ultra-lounge-malleshwaram,Lounge,Sheraton Grand Bangalore Hotel at Brigade Gateway,"26/1 , 31st Floor, Dr. Rajkumar Road, World Trade Centre, Brigade Gateway Campus, Malleshwaram, Bangalore","Japanese, Thai, Chinese, Korean","₹2,600","12:30PM to 1AM (Mon-Sun) ","4.3 ",3696 votes
"Arbor Brewing Company ",https://www.zomato.com/ArborBrewIndia,"Pub,Microbrewery",Brigade Road,"8, 3rd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, Bangalore","American, Continental, Salad","₹2,000","12Noon to 12:30AM (Mon, Tue, Wed, Thu, Sun), 12Noon... ","4.4 ",7381 votes
"The 13th Floor ",https://www.zomato.com/bangalore/the-13th-floor-mg-road,Lounge,Barton Centre,"Barton Centre, 84, MG Road, Bangalore","Asian, North Indian, Thai","₹1,700","4PM to 11PM (Mon-Thu),4PM to 1AM (Fri-Sat),12Noon to... ","4.0 ",3758 votes
"Indigo XP ",https://www.zomato.com/bangalore/indigo-xp-koramangala-5th-block,"Pub,Lounge",Koramangala 5th Block,"5th Floor, 6th Block, Elite Building, Industrial Layout, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore","Asian, Chinese, North Indian, Finger Food","₹1,400","4PM to 1AM (Mon-Sun) ","4.5 ",947 votes
"The Black Pearl ",https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block,Casual Dining,Koramangala 5th Block,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore","North Indian, European, Mediterranean","₹1,400","12Noon to 4PM, 6PM to 12Midnight (Mon-Sun) ","4.4 ",7378 votes
"The Hole in the Wall Cafe ",https://www.zomato.com/bangalore/the-hole-in-the-wall-cafe-koramangala-4th-block,Café,Koramangala 4th Block,"4, 8th Main Road, Koramangala 4th Block, Bangalore","Cafe, American",₹600,"Closed (Mon),8:30AM to 3PM, 5:30PM to 8:30PM... ","4.4 ",5937 votes
"Barbeque Nation ",https://www.zomato.com/bangalore/barbeque-nation-indiranagar,Casual Dining,Indiranagar,"4005, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore","North Indian, European, Mediterranean, BBQ, Kebab","₹1,600","12Noon to 3PM, 6:30PM to 11PM (Mon-Sun) ","4.5 ",5163 votes
"Meghana Foods ",https://www.zomato.com/bangalore/meghana-foods-koramangala-5th-block,Casual Dining,Koramangala 5th Block,"124, Near Jyothi Nivas College, 1st Cross, KHB Colony","Biryani, Seafood, Andhra",₹750,"11:45AM to 4:5PM, 7PM to 11PM (Mon-Thu),11:30AM to... ","4.0 ",4878 votes
"Windmills Craftworks ",https://www.zomato.com/bangalore/windmills-craftworks-whitefield,"Microbrewery,Pub",Windmills Craftworks,"331, Road 5B, EPIP Area, Next to KTPO, Whitefield, Bangalore","American, North Indian, Salad","₹2,500","12Noon to 11:30PM (Mon, Sun), 12Noon to 1AM (Tue-Sat) ","4.5 ",4788 votes
"The Globe Grub ",https://www.zomato.com/bangalore/the-globe-grub-marathahalli,Casual Dining,Marathahalli,"2nd Floor, Soul Space Paradigm, Landmark- Next to Innovative Multiplex, Above Bata Showroom, Outer Ring Road Marathahalli, Bangalore","Continental, North Indian, Asian, Italian","₹1,300","12Noon to 4PM, 7PM to 11PM (Mon-Sun) ","4.6 ",1023 votes
"Gilly's Restobar ",https://www.zomato.com/bangalore/gillys-restobar-koramangala-5th-block,Pub,Koramangala 5th Block,"91, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore","Continental, North Indian, Chinese, Salad","₹1,200","12Noon to 1AM (Mon-Sun) ","4.0 ",2352 votes
"Farzi Cafe ",https://www.zomato.com/bangalore/farzi-cafe-lavelle-road,"Casual Dining,Microbrewery",UB City,"202, Level 2, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Modern Indian,"₹1,500","12Noon to 1AM (Mon-Sun) ","4.0 ",1565 votes
"Bombay Brasserie ",https://www.zomato.com/bangalore/bombay-brasserie-indiranagar,Casual Dining,Indiranagar,"2989/B, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Modern Indian,"₹1,500","12Noon to 11PM (Mon-Thu),12Noon to 12Midnight (Fri-Sun) ","4.4 ",1165 votes
"Vapour Pub & Brewery ",https://www.zomato.com/bangalore/vapour-pub-brewery-indiranagar,"Microbrewery,Pub",Indiranagar,"773, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore","North Indian, Continental, Chinese","₹1,400","12Noon to 12:30AM (Mon-Sun) ","4.0 ",5607 votes
"Skyye ",https://www.zomato.com/bangalore/skyye-lavelle-road,Lounge,UB City,"Uber Level, 16th Floor, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Continental,"₹2,500","5:30PM to 11PM (Mon, Tue, Wed, Thu, Sun), 5:30PM to... ","4.0 ",2578 votes
"TBC Sky Lounge ",https://www.zomato.com/bangalore/tbc-sky-lounge-hsr,"Casual Dining,Bar",HSR,"Astra Hotel, 2795, 27th Main, Sector 1, HSR Layout, Bangalore","Continental, Asian, Italian, North Indian","₹1,000","12Noon to 12Midnight (Mon-Sun) ","4.6 ",1203 votes
"Hakuna Matata ",https://www.zomato.com/bangalore/hakuna-matata-jp-nagar,"Casual Dining,Bar",JP Nagar,"1231/35/2, 24th Main, 7th Phase, Opposite Brigade Palm Springs, JP Nagar, Bangalore","North Indian, Asian, Seafood","₹1,200","12:30PM to 11:30PM (Mon-Sun) ","4.1 ",1934 votes
"Crawl Street ",https://www.zomato.com/bangalore/crawl-street-koramangala-5th-block,Bar,Koramangala 5th Block,"77/A, 4th Floor Floor, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore","Continental, North Indian, Chinese, Finger Food","₹1,000","12Noon to 1AM (Mon-Sun) ","4.2 ",976 votes
"Corner House Ice Cream ",https://www.zomato.com/bangalore/corner-house-ice-cream-indiranagar,Dessert Parlor,Indiranagar,"3283, 2nd Stage, Off Double Road, Indiranagar, Bangalore","Ice Cream, Desserts",₹250,"11AM to 11:30PM (Mon-Sun) ","4.5 ",1656 votes
"Fenny's Lounge And Kitchen ",https://www.zomato.com/bangalore/fennys-lounge-and-kitchen-koramangala-7th-block,Bar,Koramangala 7th Block,"115, 3rd Floor, Opposite Raheja Arcade, Koramangala 7th Block, Bangalore","Mediterranean, Pizza, Continental, Seafood, Salad","₹1,800","11:30AM to 1AM (Mon-Sun) ","4.4 ",5542 votes
"The Fisherman's Wharf ",https://www.zomato.com/bangalore/the-fishermans-wharf-sarjapur-road,Casual Dining,Sarjapur Road,"26, Opposite Shubh Enclave, Ambalipura Village, Sarjapur Road, Bangalore","Seafood, Continental, Goan, Asian","₹1,800","12Noon to 1AM (Mon-Sun) ","4.0 ",3130 votes
"Three Dots & A Dash ",https://www.zomato.com/bangalore/three-dots-a-dash-indiranagar,"Casual Dining,Bar",Indiranagar,"840/1,100 Feet Road, Metro Pillar 56-57, Indiranagar, Bangalore","European, Continental","₹1,300","12Noon to 1AM (Mon-Sun) ","3.9 ",2106 votes
"Smoke House Deli ",https://www.zomato.com/SmokeHouseDeli-Indiranagar,Casual Dining,Indiranagar,"1209, 100 Feet Road, Opposite Apollo Clinic, Indiranagar, Bangalore","European, Italian, Desserts, Salad, Juices, Steak","₹1,600","9AM to 1AM (Mon-Sun) ","4.4 ",4843 votes
"Brik Oven ",https://www.zomato.com/bangalore/brik-oven-church-street,Café,Church Street,"19, Church Street, Bangalore","Cafe, Pizza, Beverages","₹1,100","12Noon to 10:30PM (Mon, Wed, Thu, Fri, Sat, Sun)... ","4.5 ",1342 votes
"ECHOES Koramangala ",https://www.zomato.com/bangalore/echoes-koramangala-koramangala-5th-block,"Café,Casual Dining",Koramangala 5th Block,"44, 4th B Cross Road, Koramangala 5th Block, Bangalore","Cafe, American, Continental, Italian, North Indian, Chinese",₹750,"11AM to 11PM (Mon-Fri),11:30AM to 11PM (Sat-Sun) ","4.5 ",1916 votes
"ELVNTHRTYONE ",https://www.zomato.com/bangalore/elvnthrtyone-indiranagar,"Bar,Casual Dining",Indiranagar,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore","Continental, Mediterranean, Italian, European, Modern Indian, Asian","₹1,300","11:30AM to 1AM (Mon-Sun) ","4.3 ",820 votes
"Tipsy Bull - The Bar Exchange ",https://www.zomato.com/bangalore/tipsy-bull-the-bar-exchange-indiranagar,"Bar,Casual Dining",Indiranagar,"2008, 2nd Floor, 100 Feet Road, Indiranagar, Bangalore","Chinese, Continental, North Indian, Mexican","₹1,000","12Noon to 1AM (Mon-Sun) ","4.3 ",1773 votes
"Brewsky ",https://www.zomato.com/bangalore/brewsky-jp-nagar,Microbrewery,JP Nagar,"55, 5th Floor, Goenka Chambers, 19th Main Road, Jeewan Griha Colony, Phase 2, JP Nagar, Bangalore","Continental, American","₹1,600","12:30PM to 12:30AM (Mon-Thu),12Noon to 12:30AM... ","4.1 ",3579 votes
"LOFT38 ",https://www.zomato.com/LOFT38,"Lounge,Casual Dining",Indiranagar,"763, Near Sony World, 100 Feet Road, Indiranagar, Bangalore","Continental, American, Asian, North Indian, Burger","₹2,100","12:30PM to 11:30PM (Mon, Tue, Wed, Thu, Sun)... ","3.9 ",2572 votes
"Glen's Bakehouse ",https://www.zomato.com/bangalore/glens-bakehouse-indiranagar,"Bakery,Café",Indiranagar,"297, 100 Feet Road, Indiranagar, Bangalore","Bakery, Cafe, Italian, Desserts",₹800,"9AM to 12Midnight (Mon-Sun) ","3.8 ",4380 votes
"Jalsa Gold ",https://www.zomato.com/bangalore/jalsa-gold-marathahalli,"Casual Dining,Bar","D and N Enterprises, Marathahalli","20\5, Panathur Junction, Outer Ring Road, Kadubeessanahalli, Marathahalli, Bangalore","North Indian, Mughlai, Italian","₹1,300","12Noon to 3:30PM, 7PM to 11:30PM (Mon-Sun) ","4.5 ",1830 votes
"Onesta ",https://www.zomato.com/bangalore/onesta-indiranagar,"Casual Dining,Café",Indiranagar,"501, Binnamangala Extension, 1st stage, C.M.H Road, Indiranagar, Bangalore","Pizza, Cafe, Italian",₹600,"12:30PM to 11PM (Mon-Sun) ","4.4 ",3323 votes
"Double Decker ",https://www.zomato.com/bangalore/double-decker-1-brigade-road,"Bar,Casual Dining",Brigade Road,"120, 4th Floor, Lancer Building, Brigade Road, Bangalore","Continental, North Indian","₹1,200","1PM to 1AM (Mon-Sun) ","4.0 ",803 votes
"612 East ",https://www.zomato.com/bangalore/612-east-indiranagar,"Casual Dining,Bar",Indiranagar,"612, 12th Main, Above Entertainment Store, HAL 2nd Stage, Indiranagar, Bangalore","Continental, Steak, European, Mediterranean, Salad","₹1,350","12Noon to 12Midnight (Mon-Thu),12Noon to 12:30AM... ","4.2 ",802 votes
"Float ",https://www.zomato.com/bangalore/float-marathahalli,"Casual Dining,Bar","D and N Enterprises, Marathahalli","20\5, Panathur Junction, Outer Ring Road, Kadubeessanahalli, Marathahalli, Bangalore","North Indian, Japanese","₹1,500","12Noon to 12Midnight (Mon, Tue, Thu, Sun), 12Noon to... ","4.2 ",1447 votes
"Hammered ",https://www.zomato.com/bangalore/hammered-cunningham-road,Pub,Cunningham Road,"18, Ali Askar Road, Cunningham Road, Bangalore","North Indian, Thai, Japanese, Continental","₹1,000","11AM to 1AM (Mon-Sun) ","4.3 ",2210 votes
"Bangalore Brew Works ",https://www.zomato.com/bangalore/bangalore-brew-works-residency-road,"Microbrewery,Lounge",Residency Road,"10th Level Prestige Towers, 99/100, Residency Road, Bangalore","Continental, Italian","₹1,700","12Noon to 11:30PM (Mon-Tue),12Noon to 1AM (Wed-Sun) ","4.0 ",1737 votes
"The Pallet ",https://www.zomato.com/bangalore/the-pallet-whitefield,"Microbrewery,Casual Dining",Whitefield,"HVP Crest, ITPL Main Road, Whitefield, Bangalore","Continental, Mediterranean, Italian, North Indian, Finger Food, Asian","₹1,500","12Noon to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon... ","4.1 ",598 votes
"Café Felix ",https://www.zomato.com/bangalore/café-felix-1-mg-road,"Casual Dining,Café","1 MG Road Mall, MG Road","Level 5, 1 MG Mall, Swami Vivekananda Road, Trinity Circle, MG Road, Bangalore","American, Cafe, Continental","₹1,700","12Noon to 11PM (Mon-Thu),12Noon to 1AM (Fri-Sun) ","4.2 ",293 votes
"Chapter One Bar | Maiin ",https://www.zomato.com/bangalore/chapter-one-bar-maiin-new-bel-road-bangalore,"Bar,Casual Dining",New BEL Road,"27, Third Floor, Aljosan, New BEL Road, Bangalore","Continental, North Indian","₹1,000","11AM to 1AM (Mon-Sun) ","NEW ",
"House Of Commons ",https://www.zomato.com/bangalore/house-of-commons-hsr,"Casual Dining,Bar",HSR,"1085, 14th Main, 18th Cross, Sector 3, HSR, Bangalore","Continental, Asian, North Indian, Burger","₹1,000","10AM to 1AM (Mon-Sun) ","4.5 ",1643 votes
"Wall Street 657 ",https://www.zomato.com/bangalore/wall-street-657-indiranagar,Bar,Indiranagar,"657, Above KTM Bike Show Room, 100 Feet Road, Indiranagar, Bangalore","Finger Food, Continental","₹1,200","12Noon to 1AM (Mon-Sun) ","4.1 ",975 votes
"Ebony ",https://www.zomato.com/bangalore/ebony-mg-road,Casual Dining,Barton Centre,"Barton Center, 13th Floor, 84 M.G.Road, MG Road, Bangalore","South Indian, Asian, Thai, North Indian","₹1,500","12:30PM to 3PM, 7PM to 11PM (Mon, Tue, Wed, Thu... ","4.1 ",2614 votes
"Plan B ",https://www.zomato.com/bangalore/plan-b-indiranagar,"Pub,Casual Dining",Indiranagar,"957, Near Gold's Gym, 12th Main, Off 100 Feet Road, Indiranagar, Bangalore","American, Continental, BBQ, Steak","₹1,800","12Noon to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon... ","4.4 ",951 votes
"Delhi Highway ",https://www.zomato.com/bangalore/delhi-highway-indiranagar,Casual Dining,Indiranagar,"951, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",North Indian,"₹1,200","12Noon to 3:30PM, 7PM to 11PM (Mon-Sun) ","4.1 ",1016 votes
"Glocal Junction ",https://www.zomato.com/bangalore/glocal-junction-indiranagar,"Casual Dining,Bar",Indiranagar,"2986, Ashwani Complex, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore","North Indian, Continental, European","₹1,500","12Noon to 1AM (Mon-Sun) ","4.0 ",1778 votes
"Sotally Tober ",https://www.zomato.com/bangalore/sotally-tober-koramangala-4th-block,Bar,Koramangala 4th Block,"769, 80 Feet Road, Koramangala 4th Block, Bangalore","Asian, European, American, North Indian, Salad","₹1,200","12Noon to 12Midnight (Mon, Tue, Wed, Thu, Sun)... ","4.3 ",2818 votes
"Kota Kachori ",https://www.zomato.com/bangalore/kota-kachori-koramangala-6th-block,Quick Bites,Koramangala 6th Block,"635, 100 Feet Road, Koramangala 6th Block, Bangalore","Street Food, Desserts, North Indian, Mithai, Rajasthani",₹400,"8AM to 10PM (Mon-Sun) ","3.9 ",1906 votes
"Buff Buffet Buff ",https://www.zomato.com/bangalore/buff-buffet-buff-koramangala-5th-block,Casual Dining,"BluPetal Hotel, Koramangala","60, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore","North Indian, Chinese, Continental, Thai, Salad","₹1,500","7AM to 10AM, 12Noon to 3:30PM, 7PM to 11:30PM... ","4.3 ",2171 votes
"Dyu Art Cafe ",https://www.zomato.com/bangalore/dyu-art-cafe-koramangala-5th-block,Café,Koramangala 5th Block,"23, Near Mangala Kalyana Mantapa, MIG, KHB Colony, Koramangala 5th Block, Bangalore","Cafe, Italian, Fast Food",₹800,"12Noon to 10:30PM (Mon),10AM to 10:30PM (Tue-Sun) ","4.2 ",2991 votes
"The Pizza Bakery ",https://www.zomato.com/bangalore/the-pizza-bakery-1-indiranagar,Casual Dining,Indiranagar,"2985, 12th Main, Indiranagar, HAL 2nd Stage, Indiranagar, Bangalore","Continental, Desserts, Italian, Pizza","₹1,200","12:30PM to 3:30PM, 7PM to 11PM (Mon-Thu),12:30PM to... ","4.3 ",392 votes
"Chutney Chang ",https://www.zomato.com/bangalore/chutney-chang-church-street,Casual Dining,Church Street,"HM Eleganza, 31, Museum Road, Off MG Road, Church Street, Bangalore","North Indian, Chinese, BBQ","₹1,500","12Noon to 3:30PM, 7PM to 11:30PM (Mon, Tue, Wed... ","4.1 ",4379 votes
"Rasta Cafe ",https://www.zomato.com/bangalore/rasta-cafe-mysore-road,Café,Mysore Road,"Mayaganahalli, Ramanagaram, Bangalore-Mysore Road, Mysore Road, Bangalore","Cafe, Continental","₹1,000","12Midnight to 4AM, 9AM to 12Midnight (Mon-Sun) ","3.2 ",3250 votes
"Punjab Grill ",https://www.zomato.com/bangalore/punjab-grill-koramangala-7th-block,Casual Dining,Koramangala 7th Block,"1, SJR Primus, Ground Floor, Opposite Forum Mall, 7th Block, Koramangala 7th Block, Bangalore",North Indian,"₹2,000","12Noon to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon... ","4.0 ",3463 votes
"Red Rhino ",https://www.zomato.com/bangalore/red-rhino-whitefield,"Microbrewery,Casual Dining",Whitefield,"4th Floor, Uptown Square, Seegehalli, Near Alliance 10 Downing Villas, Hoskote Road, Whitefield, Bangalore","Continental, Mediterranean, South Indian, North Indian, Asian","₹1,600","12Noon to 11:30PM (Mon-Thu),12Noon to 1AM... ","4.1 ",722 votes
"TherPUP - a Dog Cafe ",https://www.zomato.com/bangalore/therpup-a-dog-cafe-whitefield,Café,Whitefield,"13, White Rose Layout, Abhayadhama Road, Mahadevpura, Whitefield, Bangalore",Cafe,₹700,"11:30AM to 9PM (Mon, Wed, Thu, Fri, Sat, Sun)... ","4.2 ",545 votes
"Taaza Thindi ",https://www.zomato.com/bangalore/taaza-thindi-jayanagar,Quick Bites,Jayanagar,"1004, 26th Main, Next to HDFC Bank, 4th T Block, Jayanagar, Bangalore",South Indian,₹100,"7AM to 12Noon, 4:30PM to 9:30PM (Mon-Fri),7AM to... ","4.9 ",2894 votes
"Shivaji Military Hotel ",https://www.zomato.com/bangalore/shivaji-military-hotel-jayanagar,Casual Dining,Jayanagar,"718, 1st C Main, 45th Cross, 8th Block, Jayanagar, Bangalore","South Indian, Biryani",₹300,"Closed (Mon),8:30AM to 3PM (Tue-Sun) ","4.1 ",1544 votes
"Nagarjuna ",https://www.zomato.com/bangalore/nagarjuna-residency-road,Casual Dining,Residency Road,"44/1, Residency Road, Bangalore",Andhra,₹800,"12Noon to 3:45PM, 6:45PM to 10:45PM (Mon-Sun) ","4.1 ",1363 votes
"Sidewalk Bar & Kitchen ",https://www.zomato.com/bangalore/sidewalk-bar-kitchen-marathahalli,"Bar,Casual Dining",Marathahalli,"Ground Floor, Soul Space Paradigm, Next to Innovative Multiplex, Bata Showroom, Marathahalli, Bangalore","North Indian, Continental, Chinese, Thai","₹1,300","12Noon to 12Midnight (Mon, Tue, Wed, Thu, Sun)... ","4.3 ",881 votes
"Smoor ",https://www.zomato.com/bangalore/smoor-indiranagar,"Dessert Parlor,Café",Indiranagar,"1131, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore","Desserts, Cafe, Continental",₹900,"8AM to 11PM (Mon-Thu),8AM to 1AM (Fri-Sat),8AM to... ","4.5 ",965 votes
"Chili's American Grill & Bar ",https://www.zomato.com/bangalore/chilis-american-grill-bar-indiranagar,"Casual Dining,Bar",Indiranagar,"Plot 1135, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore","American, Tex-Mex, Burger, BBQ","₹2,200","12Noon to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon... ","4.4 ",3489 votes
"Dive ",https://www.zomato.com/bangalore/dive-marathahalli,"Pub,Casual Dining",Marathahalli,"25/7, Doddannakundi, Outer Ring Road, Mahadevapura, Marathahalli, Bangalore","European, Finger Food, Continental","₹1,300","12Noon to 12Midnight (Mon, Tue, Thu, Sun), 12Noon to... ","NEW ",
"Sharief Bhai ",https://www.zomato.com/bangalore/sharief-bhai-1-koramangala-5th-block,Casual Dining,Koramangala 5th Block,"66, Ground Floor, JNC Road, Koramangala 5th Block, Bangalore","Mughlai, Biryani",₹600,"12Noon to 1AM (Mon-Sun) ","4.4 ",500 votes
"The Yellow Submarine ",https://www.zomato.com/bangalore/the-yellow-submarine-bannerghatta-road,"Microbrewery,Casual Dining",Bannerghatta Road,"4th Floor, 448 Big Bazaar Building, SRK Towers, Bannerghatta Road, Bangalore","Continental, Chinese, North Indian, Pizza, Thai","₹1,000","12Noon to 11PM (Mon-Sun) ","4.1 ",637 votes
"Sly Granny - The Community House ",https://www.zomato.com/bangalore/sly-granny-the-community-house-indiranagar,Fine Dining,Indiranagar,"3, 4 Floor, 618, HAL 2nd Stage, Indiranagar, Bangalore","Modern Indian, European, American","₹1,500","12Noon to 11:30PM (Mon, Tue, Thu), 12Noon to 1AM... ","4.2 ",488 votes
"OPUS Club ",https://www.zomato.com/bangalore/opus-club-1-sarjapur-road,Pub,"OPUS, Sarjapur Road","26, Varthur Hobli, Near HP Petrol Bunk, Harlur Road, Sarjapur Road, Bangalore","Continental, Italian, North Indian, Mexican","₹1,900","12Noon to 12:30AM (Mon-Tue),12Noon to 1AM (Wed-Sun) ","4.3 ",423 votes
"The Permit Room ",https://www.zomato.com/bangalore/the-permit-room-brigade-road-bangalore,"Casual Dining,Bar",Brigade Road,"16/3, Commissariat Road, Brigade Road, Bangalore",South Indian,"₹1,500","12Noon to 11:30PM (Mon-Thu),12Midnight to 1AM... ","4.2 ",980 votes
"1Q1 ",https://www.zomato.com/bangalore/1q1-infantry-road,"Fine Dining,Bar",Infantry Road,"1 Express Building, Queens Road, Infantry Road, Bangalore","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese, Oriental","₹2,500","12Noon to 1AM (Mon-Sat),12:30PM to 1AM (Sun) ","4.2 ",219 votes
"Nasi And Mee ",https://www.zomato.com/bangalore/nasi-and-mee-koramangala-4th-block,Casual Dining,Koramangala 4th Block,"974, 80 Feet Road, Koramangala 4th Block, Bangalore","Malaysian, Thai, Singaporean, Asian, Chinese","₹1,000","12Noon to 3:30PM, 7PM to 11PM (Mon-Fri),8AM to... ","4.3 ",1867 votes
"BOX8- Desi Meals ",https://www.zomato.com/bangalore/box8-desi-meals-hsr,,HSR,"1502,19th Main Road, Sector 4, HSR Layout, Bangalore","North Indian, Biryani, Sandwich, Rolls, Salad, Ice Cream",₹500,"11AM to 1AM (Mon-Sun) ","4.0 ",249 votes
"Yauatcha ",https://www.zomato.com/bangalore/yauatcha-mg-road,Fine Dining,"1 MG Road Mall, MG Road","1 MG Mall, MG Road, Bangalore","Chinese, Asian, Cantonese, Tea, Yum Cha","₹2,800","12Noon to 11PM (Mon, Tue, Wed, Thu, Sun), 12Noon to... ","4.6 ",1701 votes
"Shift ",https://www.zomato.com/bangalore/shift-hsr,"Lounge,Casual Dining",HSR,"1085, 14th Main, 18th Cross, Sector 3, HSR Layout, HSR, Bangalore","North Indian, Continental, Finger Food","₹1,000","12Noon to 1AM (Mon-Sun) ","4.2 ",452 votes
"Roots ",https://www.zomato.com/bangalore/roots-koramangala-1st-block,"Casual Dining,Bar",Koramangala 1st Block,"43/A, 1st Main, Jakkasandra Road, Near Wipro Park, Koramangala 1st Block, Bangalore","North Indian, South Indian, Chinese, Continental, Mangalorean","₹1,200","12Noon to 4PM, 7PM to 11:30PM (Mon-Thu),12Noon to... ","4.4 ",1263 votes
"Fava ",https://www.zomato.com/bangalore/fava-lavelle-road,"Casual Dining,Bar",UB City,"203, 2nd Floor, UB City, 24 Vittal Mallya Road, Lavelle Road, Bangalore","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","₹1,900","11:30AM to 11:30PM (Mon, Tue, Sun), 12Noon to... ","4.4 ",1448 votes
"The Smoke Co. ",https://www.zomato.com/bangalore/the-smoke-co-koramangala-6th-block,Casual Dining,Koramangala 6th Block,"501, 6th Cross, Koramangala 6th Block, Bangalore","American, European","₹2,500","12Noon to 3PM, 7PM to 11PM (Mon-Sun) ","4.1 ",254 votes
