Name,URL,Type,Location,Address,Cuisines,Cost_for_Two,Timings,Rating,Votes
"Skylit - Citrus Hotels ",https://www.zomato.com/bangalore/skylit-citrus-hotels-cunningham-road,Lounge,"Citrus Hotels, Cunningham Road","Citrus Hotels, 34, Cunningham Road, Bangalore","North Indian, Mughlai, Mediterranean","₹1,300","5PM to 12Midnight (Mon-Sun) ","3.8 ",240 votes
"Kabab Magic ",https://www.zomato.com/bangalore/kabab-magic-jayanagar,Casual Dining,Jayanagar,"1548, East End Circle, 9th Block, Jayanagar, Bangalore","North Indian, Chinese, Rolls",₹350,"1:30PM to 3PM, 5:30PM to 11PM (Mon-Sun) ","3.6 ",520 votes
"Grubbery ",https://www.zomato.com/bangalore/grubbery-new-bel-road,Café,New BEL Road,"199, KGE Layout, Mathikere, New BEL Road, Bangalore","Cafe, American, Asian, European, Steak, Desserts",₹650,"10AM to 11:30PM (Mon-Fri),8AM to 11PM (Sat-Sun) ","3.7 ",318 votes
"Banjara Melting Pot ",https://www.zomato.com/bangalore/banjara-melting-pot-koramangala-4th-block,Casual Dining,Koramangala 4th Block,"32, 80 Feet Road, 4th Block, Koramangala 4th Block, Bangalore","North Indian, Chinese, Seafood","₹1,700","11:45AM to 3:30PM, 6:45PM to 11:30PM (Mon-Sun) ","4.0 ",640 votes
"Domino's Pizza ",https://www.zomato.com/bangalore/dominos-pizza-cv-raman-nagar,Quick Bites,CV Raman Nagar,"Ground Floor, 91/1, Nagawarapalya, Kaggadasapura Main Road, CV Raman Nagar, Bangalore","Pizza, Fast Food",₹750,"11AM to 11PM (Mon-Sun) ","2.7 ",196 votes
"Sea Rock ",https://www.zomato.com/bangalore/sea-rock-seshadripuram,Casual Dining,Seshadripuram,"6/4, 1st and 2nd Floor, Above Shivananda Stores, Shivananda Circle, Seshadripuram, Bangalore","Mangalorean, Seafood, South Indian, North Indian, Chinese, Mughlai","₹1,000","11:30AM to 3:30PM, 6:30PM to 11:30PM (Mon-Sun) ","4.4 ",348 votes
"Plated ",https://www.zomato.com/bangalore/plated-new-bel-road,Café,New BEL Road,"70, 80 Feet Road, RMV 2nd stage, New BEL Road, Bangalore","Cafe, Continental","₹1,000","11AM to 11PM (Mon-Thu),10AM to 11PM (Fri),9AM to... ","3.8 ",333 votes
"Shake It Off ",https://www.zomato.com/bangalore/shake-it-off-rajarajeshwari-nagar-bangalore,Beverage Shop,Rajarajeshwari Nagar,"137, Vimala Arcade, Kanakadasa Circle, Beml 4th Stage, Rajarajeshwari Nagar, Bangalore","Beverages, Fast Food",₹350,"11AM to 11PM (Mon-Sun) ","NEW ",
"The Market - The Ritz-Carlton ",https://www.zomato.com/bangalore/the-market-the-ritz-carlton-residency-road,"Fine Dining,Wine Bar",The Ritz-Carlton,"The Ritz-Carlton, 99, Residency Road, Bangalore","North Indian, European, South Indian, Thai","₹3,400","6:30AM to 12:30AM (Mon-Sun) ","4.0 ",445 votes
"Napoli Italian Bistro ",https://www.zomato.com/bangalore/napoli-italian-bistro-hsr,Casual Dining,HSR,"646, 12th Cross, 27th Main, Sector 1, HSR, Bangalore","Italian, Mexican","₹1,200","11AM to 11PM (Mon-Sun) ","3.8 ",905 votes
